project_id,notice_type,notice_no,country,year_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P109932,Contract Award,OP00029118,Dominican Republic,2014,World Bank,MDB-financed,,"Other Water Supply, Sanitation and Waste Management; Energy Transmission and Distribution; Irrigation and Drainage; Renewable Energy Hydro; Central Government (Central Agencies); Other Transportation",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00029118,,12191,DO Emergency Recovery & Disaster Mgmt,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029118
P126346,Contract Award,OP00029122,Haiti,2014,World Bank,MDB-financed,,"Rural and Inter-Urban Roads; Public Administration - Water, Sanitation and Waste Management; Social Protection; Sub-National Government; Public Administration - Transportation; Roads and highways; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration",,,USD,,,,,,,,,,,,,,,,,Quality Based Selection,,,,,OP00029122,,0314-01 UCP/DPC Axe I,Disaster Risk Management and Reconstruction,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029122
P126452,Contract Award,OP00029074,Brazil,2014,World Bank,MDB-financed,,"Other Agriculture, Fishing and Forestry; Sub-National Government; Other Education; Health; Public Administration - Social Protection; Irrigation and Drainage; Other Agriculture, Fishing and Forestry; Public Administration - Information and Communications Technologies; Other Education; Health",,,USD,,,,,,,,,,,,,,,,,,,,,,OP00029074,,,Rio Grande do Norte: Regional Development and Governance,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029074
P099139,Contract Award,OP00029061,Colombia,2014,World Bank,MDB-financed,,Central Government (Central Agencies); Sub-National Government; Social Protection,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00029061,,BM-008-2014,"Strengthening Public Information, Monitoring, Evaluation for Results Management in Colombia",https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00029061
P103881,Contract Award,OP00028787,Honduras,2014,World Bank,MDB-financed,,Water Supply; Sanitation; Sub-National Government; Central Government (Central Agencies); Water Supply,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00028787,,SEFIN-UAP/AIF-4335-HO/No. CB-002-2014,HN Water and Sanitation Sector Modernization Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028787
P074726,Contract Award,OP00028665,Colombia,2014,World Bank,MDB-financed,,Urban Transport; Water Supply; Sub-National Government; Sanitation; Social Protection; (Historic)Urban development adjustment,consulting,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00028665,,No. 140194-0-2014,Bogota Urban Services Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028665
P085727,Contract Award,OP00028664,Colombia,2014,World Bank,MDB-financed,,"Health; Other Education; Social Protection; Central Government (Central Agencies); Insurance and Pension; Sub-National Government; Insurance and Pension; Other Water Supply, Sanitation and Waste Management; Other Transportation; Other Public Administration",consulting,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00028664,,No. 140194-0-2014,Disaster Vulnerability Reduction Project - APL2,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028664
P101324,Contract Award,OP00028547,Brazil,2014,World Bank,MDB-financed,,"Sub-National Government; Rural and Inter-Urban Roads; Health; Other Education; Other Industry, Trade and Services; Sub-National Government; Other Industry, Trade and Services; Other Education; Health; Roads and highways",,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00028547,,1229/2012,Minas Gerais Partnership II SWAP,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028547
P006553,Contract Award,OP00028545,Brazil,2014,World Bank,MDB-financed,,"Other Water Supply, Sanitation and Waste Management; Public Administration - Water, Sanitation and Waste Management",consulting,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00028545,,MANANCIAIS 02/2014,BR APL Integrated Water Management In Metropolitan Sao Paulo,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028545
P117864,Contract Award,OP00028455,Peru,2014,World Bank,MDB-financed,,Renewable Energy Solar; Energy Transmission and Distribution; Renewable Energy Solar; Energy Transmission and Distribution,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00028455,,LPI 001-2014-ELORSA-MEM/DGER/DFC,Second Rural Electrification,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028455
